scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
"One corrupted share, not enough redundancy",13,3,5,4,1,Failure,False,False,False,DecodingFailure,0.015900004655122757,0.03919999289792031,0,15.0
"One corrupted share, not enough redundancy",14,3,5,4,1,Failure,False,False,False,DecodingFailure,0.01130001328419894,0.03940000897273421,0,15.0
"One corrupted share, not enough redundancy",15,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011299998732283711,0.03849998756777495,0,15.0
"One corrupted share, not enough redundancy",16,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011099997209385037,0.038300000596791506,0,15.0
"One corrupted share, not enough redundancy",17,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011399999493733048,0.037699996028095484,0,15.0
"One corrupted share, not enough redundancy",18,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011099997209385037,0.03989999822806567,0,15.0
"One corrupted share, not enough redundancy",19,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011299998732283711,0.03890000516548753,0,15.0
"One corrupted share, not enough redundancy",20,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011500000255182385,0.03890000516548753,0,15.0
"One corrupted share, not enough redundancy",21,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011399999493733048,0.03819999983534217,0,15.0
"One corrupted share, not enough redundancy",22,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011500000255182385,0.0374000082956627,0,15.0
"One corrupted share, not enough redundancy",23,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011199997970834374,0.03749999450519681,0,15.0
"One corrupted share, not enough redundancy",24,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011199997970834374,0.03819999983534217,0,15.0
"One corrupted share, not enough redundancy",25,3,5,4,1,Failure,False,False,False,DecodingFailure,0.04069998976774514,0.05459999374579638,0,15.0
Larger normal recovery,1,4,7,7,0,Success,True,True,True,,0.023200002033263445,0.2629999944474548,0,21.0
Larger normal recovery,2,4,7,7,0,Success,True,True,True,,0.028599999495781958,0.4566999996313825,0,21.0
Larger normal recovery,3,4,7,7,0,Success,True,True,True,,0.021500003640539944,0.2761000068858266,0,21.0
Larger normal recovery,4,4,7,7,0,Success,True,True,True,,0.01929998688865453,0.222400005441159,0,21.0
Larger normal recovery,5,4,7,7,0,Success,True,True,True,,0.018799997633323073,0.21800000104121864,0,21.0
Larger normal recovery,6,4,7,7,0,Success,True,True,True,,0.017600003047846258,0.2317000034963712,0,21.0
Larger normal recovery,7,4,7,7,0,Success,True,True,True,,0.01790000533219427,0.21980000019539148,0,21.0
Larger normal recovery,8,4,7,7,0,Success,True,True,True,,0.017400001524947584,0.21189999824855477,0,21.0
Larger normal recovery,9,4,7,7,0,Success,True,True,True,,0.01750000228639692,0.22139999782666564,0,21.0
Larger normal recovery,10,4,7,7,0,Success,True,True,True,,0.018399994587525725,0.22190000163391232,0,21.0
Larger normal recovery,11,4,7,7,0,Success,True,True,True,,0.017600003047846258,0.21639998885802925,0,21.0
Larger normal recovery,12,4,7,7,0,Success,True,True,True,,0.017300000763498247,0.21220000053290278,0,21.0
Larger normal recovery,13,4,7,7,0,Success,True,True,True,,0.01720000000204891,0.2125000028172508,0,21.0
Larger normal recovery,14,4,7,7,0,Success,True,True,True,,0.021700005163438618,0.2893000055337325,0,21.0
Larger normal recovery,15,4,7,7,0,Success,True,True,True,,0.020399995264597237,0.22869999520480633,0,21.0
Larger normal recovery,16,4,7,7,0,Success,True,True,True,,0.017700003809295595,0.22929999977350235,0,21.0
Larger normal recovery,17,4,7,7,0,Success,True,True,True,,0.01750000228639692,0.21909999486524612,0,21.0
Larger normal recovery,18,4,7,7,0,Success,True,True,True,,0.017099999240599573,0.2136999974027276,0,21.0
Larger normal recovery,19,4,7,7,0,Success,True,True,True,,0.016600009985268116,0.21000001288484782,0,21.0
Larger normal recovery,20,4,7,7,0,Success,True,True,True,,0.03540000761859119,0.2891000040108338,0,21.0
Larger normal recovery,21,4,7,7,0,Success,True,True,True,,0.01990000600926578,0.27210000553168356,0,21.0
Larger normal recovery,22,4,7,7,0,Success,True,True,True,,0.030700000934302807,0.36949999048374593,0,21.0
Larger normal recovery,23,4,7,7,0,Success,True,True,True,,0.020400009816512465,0.5184000037843361,0,21.0
Larger normal recovery,24,4,7,7,0,Success,True,True,True,,0.03370000922586769,0.9368000028189272,0,21.0
Larger normal recovery,25,4,7,7,0,Success,True,True,True,,0.030700000934302807,0.38160000985953957,0,21.0
Larger minimum recovery,1,4,7,4,0,Success,True,True,True,,0.03260000084992498,0.17250000382773578,0,21.0
Larger minimum recovery,2,4,7,4,0,Success,True,True,True,,0.03159999323543161,0.1618999958736822,0,21.0
